hits,label
20364,20200301
28448,20200302
31440,20200303
32252,20200304
33024,20200305
32392,20200306
24395,20200307
22736,20200308
32247,20200309
34671,20200310
37607,20200311
30786,20200312
29612,20200313
22639,20200314
20819,20200315
29815,20200316
31080,20200317
32034,20200318
33607,20200319
33088,20200320
26527,20200321
24626,20200322
34904,20200323
35047,20200324
34557,20200325
32215,20200326
34325,20200327
25468,20200328
25554,20200329
34197,20200330
34781,20200331
34873,20200401
35145,20200402
34657,20200403
26289,20200404
24065,20200405
34825,20200406
34807,20200407
34227,20200408
35095,20200409
35076,20200410
25819,20200411
21823,20200412
33731,20200413
34552,20200414
27440,20200415
34004,20200416
33512,20200417
28392,20200418
25071,20200419
39197,20200420
33888,20200421
35456,20200422
32867,20200423
33021,20200424
26451,20200425
24201,20200426
33081,20200427
33809,20200428
32779,20200429
17402,20200430
