hits,label
27378,20200501
26004,20200502
23647,20200503
31613,20200504
25999,20200505
34517,20200506
33509,20200507
32097,20200508
23977,20200509
25315,20200510
33763,20200511
34223,20200512
34504,20200513
34195,20200514
30352,20200515
26906,20200516
25470,20200517
33337,20200518
33409,20200519
34979,20200520
34987,20200521
35347,20200522
28155,20200523
25217,20200524
35888,20200525
34480,20200526
35116,20200527
33875,20200528
34004,20200529
26404,20200530
24505,20200531
36849,20200601
37404,20200602
37506,20200603
34404,20200604
48073,20200605
39943,20200606
46129,20200607
36011,20200608
35796,20200609
35945,20200610
34893,20200611
36181,20200612
25309,20200613
24452,20200614
37073,20200615
39030,20200616
40933,20200617
37163,20200618
41226,20200619
37617,20200620
37564,20200621
41361,20200622
39163,20200623
35173,20200624
35457,20200625
38576,20200626
28782,20200627
26073,20200628
37996,20200629
25463,20200630
