hits,label
38834,20200701
37931,20200702
36563,20200703
29037,20200704
28047,20200705
39904,20200706
41121,20200707
40216,20200708
39429,20200709
39142,20200710
31311,20200711
26407,20200712
34740,20200713
40020,20200714
37510,20200715
36470,20200716
37282,20200717
30258,20200718
29543,20200719
38945,20200720
41975,20200721
40472,20200722
38174,20200723
43160,20200724
37366,20200725
36033,20200726
42412,20200727
43480,20200728
43150,20200729
43427,20200730
40039,20200731
33399,20200801
34013,20200802
42415,20200803
44645,20200804
44546,20200805
45138,20200806
46344,20200807
36517,20200808
33001,20200809
45804,20200810
46325,20200811
52125,20200812
80531,20200813
46164,20200814
32524,20200815
29197,20200816
36075,20200817
47868,20200818
51341,20200819
48792,20200820
47669,20200821
36723,20200822
32294,20200823
46115,20200824
50049,20200825
47598,20200826
43810,20200827
44414,20200828
33001,20200829
28631,20200830
39054,20200831
