date,df,keyword
20181231,2377,송파공영차고지_이전문제
20181231,2377,헌릉로_선형개선
20181231,2347,개선_공사
20181231,2346,위례_주민
20181231,2342,지하차도_건설
20181231,2342,차고지_지하
20181231,1954,구차고지_자리
20181231,938,3기_신도시
20181231,622,전용주차구역_불법주차
20181231,510,수도권_동북부
20190107,4503,서울시_주차계획
20190107,4403,사전_조치
20190107,4402,감사_청구
20190107,4401,2019년도_12월
20190107,4401,감사청구_요청
20190107,4401,시내버스_423대
20190107,4401,헌릉로_공사
20190107,4385,서울시_공무원
20190107,4376,정상_작동
20190107,4375,불가_사유
20190114,4343,버스운행구간_자율구역
20190114,4341,마을버스_노선
20190114,4341,서울시_구역
20190114,4341,서울시_버스총량제
20190114,4248,경기도_버스
20190114,4148,21번_노선
20190114,666,2019년_1월
20190114,590,3기_신도시
20190114,566,시청사_신축
20190114,497,전용주차구역_불법주차
20190121,5372,21번_노선
20190121,4833,버스운행구간_자율구역
20190121,4729,마을버스_노선
20190121,4696,경기도_버스
20190121,4529,서울시_구역
20190121,4529,서울시_버스총량제
20190121,4470,2.21번_노선
20190121,912,개선공사_착수
20190121,912,송파차고지_인수인계
20190121,912,증축비용_분담
20190131,3583,서울시_구역
20190131,3583,서울시_버스총량제
20190131,3581,마을버스_노선
20190131,3580,경기도_버스
20190131,3580,버스운행구간_자율구역
20190131,3564,21번_노선
20190131,639,2019년_1월
20190131,603,전용주차구역_불법주차
20190131,579,장애인_전용구역
20190131,340,위례_주민
20190207,2826,버스운행구간_자율구역
20190207,2802,마을버스_노선
20190207,2791,21번_노선
20190207,2765,버스_노선
20190207,2753,운행시간_단축
20190207,585,전용주차구역_불법주차
20190207,548,장애인_전용구역
20190207,343,3단지_안전문제
20190207,257,장애인_전용주차구역
20190207,243,교통법규_위반차량
20190214,3407,서울시_주차계획
20190214,3407,주민_피해
20190214,3397,공사_착수
20190214,3356,증축_비용분담
20190214,3345,전영부_주무관
20190214,1693,21번_노선
20190214,1693,마을버스_노선
20190214,1693,버스운행구간_자율구역
20190214,1685,버스_노선
20190214,1674,운행시간_단축
20190221,2975,장지_굴다리
20190221,2975,차선_확장
20190221,2975,차선_확장공사
20190221,2968,굴다리_경사
20190221,2968,업무_분장
20190221,2945,위례_초입
20190221,2864,초입_장지
20190221,1439,기본_계획
20190221,1439,민자적격성_심사
20190221,1439,분양_초기
20190228,598,장애인_전용구역
20190228,582,전용주차구역_불법주차
20190228,413,3단지_주출입구
20190228,413,호반3단지_입주민
20190228,395,감일지구_입주민
20190228,395,학습권_침해
20190228,390,교통_불편
20190228,386,B7블록_입주예정자
20190228,385,교통량_증가
20190228,385,국민권익위원회_주재
20190307,3152,2019년_상반기중
20190307,3152,도시기능_활성화
20190307,3152,부처간_쟁점사항
20190307,666,감일지구_방음터널
20190307,663,재난_발생
20190307,663,터널_내부
20190307,663,학습권_침해
20190307,662,30미터_이격
20190307,662,B7블록_입주예정자
20190307,662,감일_B7블록
